"x","y","n","distinct sides","Elapsed Time (ms)"
256,3712,100,176,671
256,3840,100,180,774
256,3968,100,183,795
256,4096,100,176,734
256,4224,100,172,767
256,4352,100,183,770
256,4480,100,180,795
256,4608,100,180,885
256,4736,100,178,916
256,4864,100,178,936
256,4992,100,179,947
256,5120,100,177,909
256,5248,100,179,1023
256,5376,100,175,937
256,5504,100,181,1045
256,5632,100,184,1039
256,5760,100,179,1108
256,5888,100,177,1066
256,6016,100,186,1129
256,6144,100,178,1077
256,6272,100,176,1125
256,6400,100,181,1309
256,6528,100,180,1417
256,6656,100,181,1355
256,6784,100,178,1354
256,6912,100,177,1366
256,7040,100,180,1445
256,7168,100,179,1419
256,7296,100,176,1542
256,7424,100,178,1470
256,7552,100,182,1518
256,7680,100,180,1545
256,7808,100,180,1572
256,7936,100,184,1631
256,8064,100,178,1677
256,8192,100,182,1622
384,128,100,138,0
384,256,100,150,0
384,384,100,149,39
384,512,100,157,66
384,640,100,167,101
384,768,100,170,125
384,896,100,172,159
384,1024,100,172,181
384,1152,100,172,238
384,1280,100,171,268
384,1408,100,175,298
384,1536,100,172,321
384,1664,100,179,349
384,1792,100,178,364
384,1920,100,176,437
384,2048,100,178,432
384,2176,100,171,477
384,2304,100,180,561
384,2432,100,184,696
384,2560,100,180,732
384,2688,100,184,593
384,2816,100,179,747
384,2944,100,187,847
384,3072,100,182,886
384,3200,100,179,800
384,3328,100,192,947
384,3456,100,184,876
384,3584,100,185,832
384,3712,100,189,1010
384,3840,100,185,1001
384,3968,100,189,1187
384,4096,100,186,1248
384,4224,100,187,1206
384,4352,100,187,1145
384,4480,100,191,1234
384,4608,100,186,1247
384,4736,100,183,1398
384,4864,100,190,1498
384,4992,100,182,1416
384,5120,100,181,1579
384,5248,100,183,1508
384,5376,100,182,1481
384,5504,100,189,1612
384,5632,100,184,1508
384,5760,100,190,1706
384,5888,100,189,1675
384,6016,100,186,1690
384,6144,100,191,1912
384,6272,100,190,1818
384,6400,100,183,2075
384,6528,100,190,2184
384,6656,100,184,2141
384,6784,100,183,2033
384,6912,100,178,2133
384,7040,100,185,2180
384,7168,100,186,2277
384,7296,100,183,2260
384,7424,100,183,2406
384,7552,100,189,2398
384,7680,100,188,2432
384,7808,100,187,2466
384,7936,100,188,2568
384,8064,100,192,2693
384,8192,100,188,2797
512,128,100,142,27
512,256,100,157,55
512,384,100,160,74
512,512,100,164,73
512,640,100,169,117
512,768,100,175,163
512,896,100,170,190
512,1024,100,179,238
512,1152,100,180,300
512,1280,100,175,324
512,1408,100,183,395
512,1536,100,182,440
512,1664,100,180,482
512,1792,100,176,494
512,1920,100,175,568
512,2048,100,183,612
